5,125,280,38.1,178,141.3,54,54,102,143.8,185.7,7,210,7.92,41,6,N/A,5,235,8,0+7/8,,145,145,1,24,20,14.1,20,25.4,5,144.4,143.66875,11.1125,38.1,180.98,7.92,11.91,0.8,5.64,5.64,N/A,178,1.6,38.1,109,109.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
6,150,320,41.3,206,168.3,57,57,103,170.7,215.9,7,241,7.92,45,6,N/A,6,269.9,12,0+7/8,,150,150,1,24,26,20,28,25.4,6,171.4,170.65625,12.7,41.3,211.12,7.92,11.91,0.8,8.65,8.65,N/A,206,1.6,41.3,110,110.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
8,200,380,47.7,260,219.1,68,68,117,221.5,269.9,7,302,7.92,49,6,N/A,8,330,12,1,,170,170,1+1/8,27,41,31,46,28.575,8,222.2,221.45625,12.7,47.7,269.88,7.92,11.91,0.8,12.65,12.65,N/A,260,1.6,47.7,124,124.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
10,250,445,54,321,273,73,102,124,276.2,323.8,7,356,7.92,53,6,N/A,10,387.4,16,1+1/8,,190,190,1+1/4,30,57,42,71,31.75,10,277.4,276.225,12.7,54,323.85,7.92,11.91,0.8,23.26,23.26,N/A,321,1.6,54,131,131.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
12,300,520,57.2,375,323.8,79,108,137,327,381,7,413,7.92,57,6,N/A,12,450.8,16,1+1/4,,205,205,1+3/8,33,80,59,102,34.925,12,328.2,427.0375,12.7,57.2,381,7.92,11.91,0.8,30.35,30.35,N/A,375,1.6,57.2,144,144.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
14,350,585,60.4,425,355.6,84,117,149,359.2,412.8,7,457,7.92,61,6,N/A,14,514.4,20,1+1/4,,210,210,1+3/8,33,105,82,132,34.925,14,360.2,359.56875,12.7,60.4,419.1,7.92,11.91,0.8,38.51,38.51,N/A,425,1.6,60.4,156,156.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
16,400,650,63.5,483,406.4,94,127,152,410.5,469.9,7,508,7.92,65,6,N/A,16,571.5,20,1+3/8,,220,220,1+1/2,36,134,107,168,38.1,16,411.2,410.36875,12.7,63.5,469.9,7.92,11.91,0.8,50.38,50.38,N/A,483,1.6,63.5,159,159.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
18,450,710,66.7,533,457,98,137,165,461.8,533.4,7,575,7.92,69,6,N/A,18,628.6,24,1+3/8,,230,230,1+1/2,36,160,130,207,38.1,18,462.3,461.9625,12.7,66.7,533.4,7.92,11.91,0.8,62.15,62.15,N/A,533,1.6,66.7,172,172.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
20,500,775,69.9,587,508,102,146,168,513.1,584.2,7,635,9.53,73,6,N/A,20,685.8,24,1+1/2,,240,250,1+3/4,39,194,157,266,41.275,20,514.4,512.7625,12.7,69.9,584.2,9.53,13.49,1.5,78.11,80.13,N/A,587,1.6,69.9,175,177.53,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
24,600,915,76.2,702,610,114,159,175,616,692.2,7,749,11.13,77,6,N/A,24,812.8,24,1+3/4,,265,280,1+7/8,45,282,232,405,47.625,24,616,615.95,12.7,76.2,692.15,11.13,16.66,1.5,119.85,123.96,N/A,702,1.6,76.2,182,186.13,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
