11,2,3,4,5,6,7,8,9,10,11
NB inch,NB ,len short,len long,cone dia,od,thk,wt short,wt long,Long Option,90
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Long Option,90
0+3/4,20,30,50,15,52,3,0.2,0.2,Long Option,90
1,25,38,50,22,62,3,0.2,0.2,Long Option,90
1+1/2,40,101,139,31,79,3,0.2,0.2,Long Option,90
2,50,114,152,44,98,3,0.2,0.3,Long Option,90
3,80,165,228,67,130,3,0.4,0.4,Long Option,90
4,100,215,292,88,168,3,0.6,0.7,Long Option,90
5,125,266,355,117,190,3,0.7,0.9,Long Option,90
6,150,330,431,139,215,3,1.1,1.5,Long Option,90
8,200,431,584,181,273,3,2,2.7,Long Option,90
10,250,533,685,228,333,5,2.7,3.4,Long Option,90
12,300,635,825,276,403,5,3.6,4.9,Long Option,90
14,350,660,889,320,444,5,4.5,5.4,Long Option,90
16,400,749,990,368,508,5,5.4,7.2,Long Option,90
18,450,838,1117,415,542,5,6.8,9.5,Long Option,90
20,500,939,1244,466,600,5,9,11.7,Long Option,90
24,600,1117,1473,568,711,5,12.2,16.3,Long Option,90
30,750,1524,2032,723,870,5,19,25.4,Long Option,90
36,900,1828,2387,876,1035,5,33.1,43.5,Long Option,90
